City_ID,City,Country,AQI_Value,AQI_Category,CO_AQI_Value,CO_AQI_Category,Ozone_AQI_Value,Ozone_AQI_Category,NO2_AQI_Value,NO2_AQI_Category,PM2.5_AQI_Value,PM2.5_AQI_Category
4228,Gaozhou,China,125,Unhealthy for Sensitive Groups,3,Good,13,Good,20,Good,125,Unhealthy for Sensitive Groups
4229,Garango,Burkina Faso,54,Moderate,1,Good,25,Good,0,Good,54,Moderate
4230,Garches,France,72,Moderate,1,Good,43,Good,2,Good,72,Moderate
4231,Garden City,United States of America,58,Moderate,1,Good,46,Good,5,Good,58,Moderate
4232,Gardena,United States of America,100,Unhealthy for Sensitive Groups,3,Good,17,Good,23,Good,100,Unhealthy for Sensitive Groups
4233,Garibaldi,Brazil,29,Good,0,Good,19,Good,0,Good,29,Good
4234,Garzon,Colombia,15,Good,1,Good,6,Good,0,Good,15,Good
4235,Gebog,Indonesia,161,Unhealthy,5,Good,2,Good,22,Good,161,Unhealthy
4236,Gembloux,Belgium,55,Moderate,1,Good,41,Good,1,Good,55,Moderate
4237,Gendringen,Netherlands,40,Good,1,Good,38,Good,0,Good,40,Good
4238,Georgievsk,Russian Federation,43,Good,1,Good,43,Good,1,Good,32,Good
4239,Ghazipur,India,176,Unhealthy,4,Good,93,Moderate,5,Good,176,Unhealthy
4240,Dalipuga,Philippines,61,Moderate,1,Good,17,Good,3,Good,61,Moderate
4241,Darlowo,Poland,35,Good,1,Good,35,Good,0,Good,23,Good
4242,Daund,India,159,Unhealthy,2,Good,33,Good,6,Good,159,Unhealthy
4243,Delray Beach,United States of America,36,Good,1,Good,36,Good,0,Good,22,Good
4244,Derby,United States of America,51,Moderate,1,Good,48,Good,2,Good,51,Moderate
4245,Descalvado,Brazil,60,Moderate,1,Good,27,Good,0,Good,60,Moderate
4246,Dharan,Nepal,101,Unhealthy for Sensitive Groups,3,Good,33,Good,2,Good,101,Unhealthy for Sensitive Groups
4247,Dhaulpur,India,171,Unhealthy,4,Good,50,Good,7,Good,171,Unhealthy
4248,Dhrangadhra,India,150,Unhealthy,1,Good,29,Good,1,Good,150,Unhealthy
4249,Diemen,Netherlands,38,Good,0,Good,38,Good,0,Good,30,Good
4250,Diest,Belgium,53,Moderate,1,Good,38,Good,1,Good,53,Moderate
4251,Dietzenbach,Germany,61,Moderate,1,Good,61,Moderate,0,Good,60,Moderate
4253,Dodoma,United Republic of Tanzania,21,Good,0,Good,21,Good,0,Good,18,Good
4254,Domodossola,Italy,83,Moderate,1,Good,39,Good,0,Good,83,Moderate
4255,Dracena,Brazil,50,Good,1,Good,23,Good,0,Good,50,Good
4256,Drobak,Norway,45,Good,1,Good,45,Good,0,Good,15,Good
4257,Dublin,United States of America,43,Good,1,Good,41,Good,1,Good,43,Good
4258,Duffel,Belgium,51,Moderate,1,Good,38,Good,2,Good,51,Moderate
4259,Dundee,United Kingdom of Great Britain and Northern Ireland,38,Good,1,Good,38,Good,0,Good,29,Good
4260,Eagan,United States of America,52,Moderate,1,Good,32,Good,1,Good,52,Moderate
